year,month,day,dy_real_1_hat,df1_real_5,df1_real_10,df1_real_15,df1_real_20,avg_dealer_return_hf,avg_dealer_return
2014,3,19,.011629964,.16279501,.016589522,-.093493819,-.081102848,.26571873,-.043389443
2014,4,30,.011629964,-.061452985,-.021339297,-.045077801,-.048803329,.0050939242,.216785
2014,6,18,.011629964,-.070058942,-.016982675,-.007266283,-.018496513,.27929047,.60623419
2014,7,30,.011629964,.10589778,.11492753,.081369638,.059636354,.60933417,.72033346
2014,9,17,.011629964,.070039093,-.011803985,-.014799595,.021877527,.61919123,.20400681
2014,10,29,.026097246,.070348859,-.06581223,-.098446846,-.030472159,-.14802128,-.11690338
2014,12,17,.0043963245,.067225754,.031281114,.021483302,.028258681,.53487825,1.9745523
2015,1,28,.011629964,-.056779921,-.10638052,-.113392,-.099302173,-.32057902,-2.3485866
2015,3,18,-.017304596,-.18517941,-.088248134,-.058352768,-.084971607,1.1437936,.56241393
2015,4,29,.011629964,.033997983,.053304076,.061445475,.062548161,.13342522,.76035607
2015,6,17,-.017304596,-.034508467,.087615371,.12534618,.10502565,-.0076906583,-.42103425
2015,7,29,.011629964,-.01488781,.047734737,.060425997,.019203901,.0019641477,1.3129678
2015,9,17,-.082392894,-.11865646,-.031780362,-.0073165894,-.026713014,-.58357728,-1.8659495
2015,10,28,.062265448,.099348962,.0052015781,-.00918293,-.0088802576,.14873314,2.8222823
2016,3,16,-.067940079,-.11284262,.00097322464,-.0027428865,-.052828789,-.89134371,-.55540347
2016,4,27,.0043963245,-.0038896203,-.14685297,-.036022902,.0075907707,.30436799,.23550569
2016,7,27,.0043963245,-.049212188,-.049271941,-.053344131,-.058187664,.02697376,.013117228
2016,9,21,.0043963245,-.05263871,-.066545725,-.069008708,-.065668106,-.50011462,.47635365
2016,11,2,.011629964,-.032226861,.014785051,.021782994,.0068398714,.31819716,-.81043333
2016,12,14,.026097246,.10225743,-.00025963783,-.037685156,-.008046031,.8510294,-.7659803
